Collection ID,Collection Name,Item Type,Item ID,Item Name,Item Slug,Partner Name,Part Of A Specialization,Part Of Specialization ID,Part Of Specialization Name,Course Deeplink,Duration,For-credit,Auto-enrollment,Start Date,End Date
,,COURSE,oFQpB2x7EeyIUg4Qv2RsBQ,الإدارة الفعالة للوقت | Effective Time Management,effective-time-manangemen,Alfaisal University | KLD,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=oFQpB2x7EeyIUg4Qv2RsBQ&productType=course&showMiniModal=true&attemptSSOLogin=true,2,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,rvNr5qkyEeywagovoAKHOQ,Optimizing Performance of LookML Queries,googlecloud-optimizing-performance-of-lookml-queries-8ht7a,Google Cloud,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=rvNr5qkyEeywagovoAKHOQ&productType=course&showMiniModal=true&attemptSSOLogin=true,3,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,gucKWqkrEeyjPxJkzIUqCw,Entity and Sentiment Analysis with the Natural Language API,googlecloud-entity-and-sentiment-analysis-with-the-natural-language-api-yxxmm,Google Cloud,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=gucKWqkrEeyjPxJkzIUqCw&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,rojamqrdEeqpkQ5FbOrePQ,Investment Risk Management,investment-risk-management,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=rojamqrdEeqpkQ5FbOrePQ&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,nOUxQJHMEeWxTA6NLywNHw,Wind resources for renewable energies,wind-for-renewable-energies,École Polytechnique,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=nOUxQJHMEeWxTA6NLywNHw&productType=course&showMiniModal=true&attemptSSOLogin=true,24,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,TsnyAf6zEeqNCAqNtkyr8w,Flush Out a Feature on Coursera in Miro,coursera-feature-miro,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=TsnyAf6zEeqNCAqNtkyr8w&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,Hk5wdmECEe62wwrYx-2qTQ,Scaling Microservices App: Migration to Redis Enterprise on Google Cloud,googlecloud-scaling-microservices-applications-migration-to-redis-enterpri-f6ltt,Google Cloud,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=Hk5wdmECEe62wwrYx-2qTQ&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,WVasvB6JEe-Ojg4Sufxjbw,"Auditing Generative AI: Strategy, Analysis & Risk Mitigation",auditing-generative-ai-strategy-analysis--risk-mitigation,ISACA,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=WVasvB6JEe-Ojg4Sufxjbw&productType=course&showMiniModal=true&attemptSSOLogin=true,3,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,DMvalu-0EeutkA6RBhqgvQ,Why Smart Executives Fail: Common Mistakes & Warning Signs,why-smart-executives-fail,Dartmouth College,TRUE,t2XWFPblEeuMDQ5EY8NXcQ,"Strategic Leadership: Impact, Change, and Decision-Making",https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=DMvalu-0EeutkA6RBhqgvQ&productType=course&showMiniModal=true&attemptSSOLogin=true,7,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,P9XYJwlSEeyfCRK_crecDw,Create a Targeted Ad With Facebook Audience Insights,create-targeted-ad-facebook-audience-insights,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=P9XYJwlSEeyfCRK_crecDw&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,w9k45P_kEemyUw4PJH9JNQ,The North Awakens,the-north-awakens,University of Colorado Boulder,TRUE,PFDUnv_jEemuiwqU4jDPZw,Arctic Meltdown,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=w9k45P_kEemyUw4PJH9JNQ&productType=course&showMiniModal=true&attemptSSOLogin=true,3,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,mVWs9YNvEeyZpA5CCq0GfQ,Modelling and simulation of mechanical systems,modelling-simulation-mechanical-systems,Università di Napoli Federico II,TRUE,IKg_FEINSmqxt0uMnS1bMg,Autonomous Vehicle Engineering,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=mVWs9YNvEeyZpA5CCq0GfQ&productType=course&showMiniModal=true&attemptSSOLogin=true,3,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
